*ALTITUDE   ELECTRON DENSITY  
*(km)       Ne (1/cm^3)       
*---------  ----------------  
   70.00          188.000
   80.00          459.000
   90.00         9858.000
  100.00        82844.000
  110.00       109981.000
  120.00       104200.000
  130.00       113107.000
  140.00       124172.000
  150.00       137148.000
  160.00       153189.000
  170.00       174675.000
  180.00       193401.000
  190.00       214506.000
  200.00       265900.000
  210.00       316898.000
  220.00       362380.000
  230.00       396774.000
  240.00       414941.000
  250.00       415890.000
  260.00       411533.000
  270.00       403532.000
  280.00       392254.000
  290.00       378150.000
  300.00       361729.000
  310.00       343526.000
  320.00       324071.000
  330.00       303872.000
  340.00       283387.000
  350.00       263017.000
  360.00       243097.000
  370.00       223894.000
  380.00       205611.000
  390.00       188387.000
  400.00       172309.000
  410.00       157419.000
  420.00       143723.000
  430.00       131196.000
  440.00       119795.000
  450.00       109460.000
  460.00       100121.000
  470.00        91705.000
  480.00        84136.000
  490.00        77339.000
  500.00        71242.000
  510.00        65777.000
  520.00        60878.000
  530.00        56488.000
  540.00        52553.000
  550.00        49024.000
  560.00        45856.000
  570.00        43011.000
  580.00        40452.000
