*ALTITUDE   ELECTRON DENSITY  POSITIVE ION COMPOSITION (%)                 
*(km)       Ne (1/cm^3)          O+    H+    N+   He+   NO+   O2+   Clust  
*---------  ----------------  -------------------------------------------  
   50.00           -1.000      -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0
   60.00           -1.000      -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0
   70.00          176.000      -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0
   80.00          430.000      -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0
   90.00         9292.000      -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0
  100.00        79419.000       0.2   0.0  -1.0   0.0  54.1  45.7  -1.0
  110.00       105925.000       0.5   0.0  -1.0   0.0  53.2  46.3  -1.0
  120.00       100502.000       1.3   0.0  -1.0   0.0  52.8  45.9  -1.0
  130.00       114938.000       3.1   0.0  -1.0   0.0  54.3  42.6  -1.0
  140.00       140856.000       7.3   0.0  -1.0   0.0  55.8  36.9  -1.0
  150.00       166913.000      15.4   0.0  -1.0   0.0  53.4  31.3  -1.0
  160.00       189500.000      26.8   0.0  -1.0   0.0  46.9  26.4  -1.0
  170.00       203290.000      37.5   0.0  -1.0   0.0  40.8  21.7  -1.0
  180.00       257624.000      44.9   0.0  -1.0   0.0  39.1  16.0  -1.0
  190.00       314337.000      50.1   0.0  -1.0   0.0  41.1   8.8  -1.0
  200.00       368545.000      54.3   0.0  -1.0   0.0  41.6   4.1  -1.0
  210.00       414376.000      58.4   0.0  -1.0   0.0  39.8   1.8  -1.0
  220.00       445835.000      62.5   0.0  -1.0   0.0  36.7   0.8  -1.0
  230.00       457664.000      66.9   0.0  -1.0   0.0  32.8   0.3  -1.0
  240.00       455456.000      71.5   0.0  -1.0   0.0  28.3   0.1  -1.0
  250.00       448947.000      76.5   0.0  -1.0   0.0  23.4   0.1  -1.0
  260.00       438485.000      81.8   0.0  -1.0   0.0  18.2   0.0  -1.0
  270.00       424539.000      87.4   0.0  -1.0   0.0  12.6   0.0  -1.0
  280.00       407656.000      93.1   0.0  -1.0   0.0   6.9   0.0  -1.0
  290.00       388433.000      97.7   0.0  -1.0   0.0   2.3   0.0  -1.0
  300.00       367481.000      99.6   0.0  -1.0   0.0   0.4   0.0  -1.0
  310.00       345393.000      99.9   0.0  -1.0   0.0   0.1   0.0  -1.0
  320.00       322719.000     100.0   0.0  -1.0   0.0   0.0   0.0  -1.0
  330.00       299951.000     100.0   0.0  -1.0   0.0   0.0   0.0  -1.0
  340.00       277508.000     100.0   0.0  -1.0   0.0   0.0   0.0  -1.0
  350.00       255728.000     100.0   0.0  -1.0   0.0   0.0   0.0  -1.0
  360.00       234878.000     100.0   0.0  -1.0   0.0   0.0   0.0  -1.0
  370.00       215149.000     100.0   0.0  -1.0   0.0   0.0   0.0  -1.0
  380.00       196667.000     100.0   0.0  -1.0   0.0   0.0   0.0  -1.0
  390.00       179503.000     100.0   0.0  -1.0   0.0   0.0   0.0  -1.0
  400.00       163680.000     100.0   0.0  -1.0   0.0   0.0   0.0  -1.0
  410.00       149185.000     100.0   0.0  -1.0   0.0   0.0   0.0  -1.0
  420.00       135977.000     100.0   0.0  -1.0   0.0   0.0   0.0  -1.0
  430.00       123997.000     100.0   0.0  -1.0   0.0   0.0   0.0  -1.0
  440.00       113169.000      99.9   0.1  -1.0   0.0   0.0   0.0  -1.0
  450.00       103412.000      99.5   0.5  -1.0   0.1   0.0   0.0  -1.0
  460.00        94641.000      98.8   1.1  -1.0   0.1   0.0   0.0  -1.0
  470.00        86769.000      98.1   1.7  -1.0   0.2   0.0   0.0  -1.0
  480.00        79715.000      97.3   2.4  -1.0   0.3   0.0   0.0  -1.0
  490.00        73397.000      96.5   3.1  -1.0   0.3   0.0   0.0  -1.0
  500.00        67743.000      95.8   3.8  -1.0   0.4   0.0   0.0  -1.0
  510.00        62682.000      95.0   4.5  -1.0   0.5   0.0   0.0  -1.0
  520.00        58151.000      94.3   5.1  -1.0   0.6   0.0   0.0  -1.0
  530.00        54095.000      93.5   5.8  -1.0   0.6   0.0   0.0  -1.0
  540.00        50460.000      92.8   6.5  -1.0   0.7   0.0   0.0  -1.0
  550.00        47200.000      92.1   7.1  -1.0   0.8   0.0   0.0  -1.0
  560.00        44274.000      91.4   7.8  -1.0   0.9   0.0   0.0  -1.0
  570.00        41645.000      90.6   8.4  -1.0   0.9   0.0   0.0  -1.0
  580.00        39280.000      89.9   9.1  -1.0   1.0   0.0   0.0  -1.0
  590.00        37150.000      89.2   9.7  -1.0   1.1   0.0   0.0  -1.0
  600.00        35229.000      88.5  10.4  -1.0   1.2   0.0   0.0  -1.0
  610.00        33494.000      87.8  11.0  -1.0   1.2   0.0   0.0  -1.0
  620.00        31925.000      87.1  11.6  -1.0   1.3   0.0   0.0  -1.0
  630.00        30505.000      86.3  12.3  -1.0   1.4   0.0   0.0  -1.0
  640.00        29217.000      85.6  13.0  -1.0   1.4   0.0   0.0  -1.0
  650.00        28048.000      84.8  13.6  -1.0   1.5   0.0   0.0  -1.0
  660.00        26985.000      84.1  14.3  -1.0   1.6   0.0   0.0  -1.0
  670.00        26018.000      83.2  15.1  -1.0   1.7   0.0   0.0  -1.0
  680.00        25136.000      82.4  15.9  -1.0   1.8   0.0   0.0  -1.0
  690.00        24332.000      81.4  16.7  -1.0   1.9   0.0   0.0  -1.0
  700.00        23597.000      80.4  17.6  -1.0   2.0   0.0   0.0  -1.0
  710.00        22925.000      79.4  18.5  -1.0   2.1   0.0   0.0  -1.0
  720.00        22310.000      78.3  19.5  -1.0   2.2   0.0   0.0  -1.0
  730.00        21747.000      77.2  20.5  -1.0   2.3   0.0   0.0  -1.0
  740.00        21229.000      76.0  21.6  -1.0   2.4   0.0   0.0  -1.0
  750.00        20754.000      74.9  22.6  -1.0   2.5   0.0   0.0  -1.0
  760.00        20318.000      73.7  23.7  -1.0   2.6   0.0   0.0  -1.0
  770.00        19916.000      72.5  24.7  -1.0   2.7   0.0   0.0  -1.0
  780.00        19547.000      71.4  25.8  -1.0   2.9   0.0   0.0  -1.0
  790.00        19206.000      70.2  26.8  -1.0   3.0   0.0   0.0  -1.0
  800.00        18892.000      69.1  27.8  -1.0   3.1   0.0   0.0  -1.0
  810.00        18603.000      68.0  28.8  -1.0   3.2   0.0   0.0  -1.0
  820.00        18335.000      66.8  29.8  -1.0   3.3   0.0   0.0  -1.0
  830.00        18088.000      65.8  30.8  -1.0   3.4   0.0   0.0  -1.0
  840.00        17860.000      64.7  31.8  -1.0   3.5   0.0   0.0  -1.0
  850.00        17649.000      63.6  32.7  -1.0   3.6   0.0   0.0  -1.0
  860.00        17453.000      62.6  33.7  -1.0   3.7   0.0   0.0  -1.0
  870.00        17272.000      61.6  34.6  -1.0   3.8   0.0   0.0  -1.0
  880.00        17105.000      60.6  35.5  -1.0   3.9   0.0   0.0  -1.0
  890.00        16950.000      59.6  36.4  -1.0   4.0   0.0   0.0  -1.0
  900.00        16806.000      58.6  37.3  -1.0   4.1   0.0   0.0  -1.0
  910.00        16672.000      57.6  38.1  -1.0   4.2   0.0   0.0  -1.0
  920.00        16548.000      56.7  39.0  -1.0   4.3   0.0   0.0  -1.0
  930.00        16434.000      55.8  39.8  -1.0   4.4   0.0   0.0  -1.0
  940.00        16327.000      54.8  40.6  -1.0   4.5   0.0   0.0  -1.0
  950.00        16228.000      53.9  41.4  -1.0   4.6   0.0   0.0  -1.0
  960.00        16136.000      53.1  42.2  -1.0   4.7   0.0   0.0  -1.0
  970.00        16051.000      52.2  43.0  -1.0   4.8   0.0   0.0  -1.0
  980.00        15972.000      51.3  43.8  -1.0   4.9   0.0   0.0  -1.0
  990.00        15898.000      50.5  44.5  -1.0   4.9   0.0   0.0  -1.0
 1000.00        15829.000      49.7  45.3  -1.0   5.0   0.0   0.0  -1.0
