VITMO ModelWeb Browser Results
/iri 2007/ model listing

*Required input parameters*
Year= 2004., Month= 01, Day= 01, Hour=1.5,
Time_type = Local
Coordinate_type = Geographic
Latitude= 50., Longitude= 40., Height= 60.
Prof. parameters: Start= 80. Stop= 2000. Step= 5.

*Optional input parameters:*
Sunspot number(Rz12) =not specifyed
Ionospheric index(IG12) =-50.
Upper limit for Electron content = not specifyed
F peak model = URSI
Ne Topside = NeQuick
foF2 Storm model = on
Bottomside Thickness = B0 Table
F1 occurrence probability = Scotto-1997 no L
D-Region Ne = FPT-2000
Topside Te = IRI-95
Ion Composition = DS95/TT05
/A value of -1 indicates that the parameter is not available for the
specified range/
/TEC=-1, means you have not entered an upper boundary height in the
OPTIONAL INPUT section./

   Selected parameters are:
1 Height, km
2 Electron_density_Ne, m-3
3 Ratio_of_Ne_to_NmF2
4 O_ions, %
5 N_ions, %
6 H_ions, %
7 He_ions, %
8 O2_ions, %
9 NO_ions, %

       1            2      3     4     5     6     7     8     9
   80.00  0.61957E+06  0.000   0.0   0.0   0.0   6.0  19.0  75.0
   85.00  0.25024E+09  0.002   0.0   0.0   0.0  17.0  43.0  40.0
   90.00  0.47418E+09  0.003   0.0   0.0   0.0  23.0  67.0  10.0
   95.00  0.16460E+10  0.011   0.0   0.0   0.0  16.0  79.0   5.0
  100.00  0.22327E+10  0.015   0.0   0.0   0.0   9.0  91.0   0.0
  105.00  0.23350E+10  0.016   0.0   0.0   0.0  16.0  84.0   0.0
  110.00  0.23384E+10  0.016   0.0   0.0   0.0  23.0  78.0   0.0
  115.00  0.19109E+10  0.013   0.0   0.0   0.0  29.0  71.0   0.0
  120.00  0.12476E+10  0.009   0.0   0.0   0.0  36.0  64.0   0.0
  125.00  0.79640E+09  0.005   0.0   0.0   0.0  34.0  66.0   0.0
  130.00  0.56265E+09  0.004   0.0   0.0   0.0  32.0  68.0   0.0
  135.00  0.46722E+09  0.003   0.0   0.0   0.0  36.0  64.0   0.0
  140.00  0.46074E+09  0.003   0.0   0.0   0.0  40.0  60.0   0.0
  145.00  0.52603E+09  0.004   1.0   0.0   0.0  40.0  59.0   0.0
  150.00  0.66329E+09  0.005   2.0   0.0   0.0  40.0  58.0   0.0
  155.00  0.87450E+09  0.006   4.0   0.0   0.0  40.0  57.0   0.0
  160.00  0.11487E+10  0.008   5.0   0.0   0.0  39.0  56.0   0.0
  165.00  0.14620E+10  0.010  12.0   0.0   0.0  37.0  51.0   0.0
  170.00  0.18150E+10  0.013  19.0   0.0   0.0  34.0  46.0   0.0
  175.00  0.23232E+10  0.016  27.0   0.0   0.0  32.0  41.0   0.0
  180.00  0.25305E+10  0.017  34.0   0.0   0.0  29.0  37.0   0.0
  185.00  0.27504E+10  0.019  43.0   0.0   0.0  25.0  32.0   0.0
  190.00  0.29985E+10  0.021  53.0   0.0   0.0  20.0  27.0   0.0
  195.00  0.32807E+10  0.023  56.0   0.0   0.0  15.0  29.0   0.0
