VITMO ModelWeb Browser Results
/iri 2007/ model listing

*Required input parameters*
Year= 2004., Month= 01, Day= 01, Hour=12.,
Time_type = Local
Coordinate_type = Geographic
Latitude= 50., Longitude= 40., Height= 60.
Prof. parameters: Start= 80. Stop= 2000. Step= 5.

*Optional input parameters:*
Sunspot number(Rz12) =not specifyed
Ionospheric index(IG12) =-50.
Upper limit for Electron content = not specifyed
F peak model = URSI
Ne Topside = NeQuick
foF2 Storm model = on
Bottomside Thickness = B0 Table
F1 occurrence probability = Scotto-1997 no L
D-Region Ne = FPT-2000
Topside Te = IRI-95
Ion Composition = DS95/TT05
/A value of -1 indicates that the parameter is not available for the
specified range/
/TEC=-1, means you have not entered an upper boundary height in the
OPTIONAL INPUT section./

   Selected parameters are:
1 Height, km
2 Electron_density_Ne, m-3
3 Ratio_of_Ne_to_NmF2
4 O_ions, %
5 N_ions, %
6 H_ions, %
7 He_ions, %
8 O2_ions, %
9 NO_ions, %

       1            2      3     4     5     6     7     8     9
   80.00  0.37930E+09  0.000   0.0   0.0   0.0  10.0  24.0  66.0
   85.00  0.78086E+09  0.001   0.0   0.0   0.0  20.0  45.0  35.0
   90.00  0.80188E+10  0.010   0.0   0.0   0.0  30.0  66.0   4.0
   95.00  0.32511E+11  0.039   0.0   0.0   0.0  38.0  62.0   0.0
  100.00  0.64586E+11  0.078   0.0   0.0   0.0  42.0  58.0   0.0
  105.00  0.81815E+11  0.098   0.0   0.0   0.0  41.0  59.0   0.0
  110.00  0.84326E+11  0.101   0.0   0.0   0.0  40.0  60.0   0.0
  115.00  0.80019E+11  0.096   0.0   0.0   0.0  43.0  57.0   0.0
  120.00  0.75990E+11  0.091   0.0   0.0   0.0  47.0  53.0   0.0
  125.00  0.81261E+11  0.098   1.0   0.0   0.0  46.0  52.0   0.0
  130.00  0.88067E+11  0.106   2.0   0.0   0.0  46.0  52.0   0.0
  135.00  0.94785E+11  0.114   3.0   0.0   0.0  46.0  51.0   0.0
  140.00  0.10246E+12  0.123   4.0   0.0   0.0  45.0  50.0   0.0
  145.00  0.11137E+12  0.134   7.0   0.0   0.0  45.0  48.0   0.0
  150.00  0.12194E+12  0.147  12.0   0.0   0.0  43.0  45.0   0.0
  155.00  0.13488E+12  0.162  17.0   0.0   0.0  39.0  44.0   0.0
  160.00  0.15163E+12  0.182  23.0   0.0   0.0  35.0  42.0   0.0
  165.00  0.17593E+12  0.211  31.0   0.0   0.0  31.0  38.0   0.0
  170.00  0.21145E+12  0.254  38.0   0.0   0.0  28.0  34.0   0.0
  175.00  0.25176E+12  0.303  46.0   0.0   0.0  24.0  30.0   0.0
  180.00  0.29662E+12  0.357  53.0   0.0   0.0  20.0  26.0   0.0
  185.00  0.34573E+12  0.416  61.0   0.0   0.0  16.0  23.0   0.0
  190.00  0.39853E+12  0.479  70.0   0.0   0.0  13.0  18.0   0.0
  195.00  0.45418E+12  0.546  72.0   0.0   0.0  11.0  17.0   0.0
  200.00  0.51156E+12  0.615  74.0   0.0   0.0   9.0  17.0   0.0
