FPS observing times, UT:

                   Poker Flat       Inuvik           Either
Nov 27, 2000:      02:05-17:10      00:50-16:35      00:50-17:10
Nov 28, 2000:      02:05-17:10      00:45-16:40      00:45-17:10
Nov 29, 2000:      02:00-17:15      00:45-16:40      00:45-17:15
Nov 30, 2000:      02:00-17:15      00:45-16:45      00:45-17:15
Dec 01, 2000:      02:00-17:20      00:40-16:45      00:40-17:20
Dec 02, 2000:      02:00-17:20      00:40-16:50      00:40-17:20
Dec 03, 2000:      01:55-17:20      00:40-16:50      00:40-17:20
Dec 04, 2000:      01:55-17:25      00:40-16:55      00:40-17:25
Dec 05, 2000:      06:40-17:25      00:35-16:55      00:35-17:25
Dec 06, 2000:      08:45-17:25      00:35-16:55      00:35-17:25
Dec 07, 2000:      10:25-17:30      00:35-17:00      00:35-17:30
Dec 08, 2000:      12:05-17:30      00:35-17:00      00:35-17:30
Dec 09, 2000:      13:40-17:30      00:30-17:00      00:30-17:30
Dec 10, 2000:      15:15-17:35      00:30-17:05      00:30-17:35
Dec 11, 2000:      01:50-03:00      00:30-17:05      00:30-17:05
Dec 12, 2000:      01:50-03:45      00:30-17:05      00:30-17:05
Dec 13, 2000:      01:50-04:45      00:30-17:10      00:30-17:10
Dec 14, 2000:      01:50-06:00      00:30-17:10      00:30-17:10
Dec 15, 2000:      01:50-07:30      00:30-17:10      00:30-17:10
Dec 16, 2000:      01:50-09:00      00:30-17:10      00:30-17:10
Dec 17, 2000:      01:50-10:40      00:30-17:15      00:30-17:15
Dec 18, 2000:      01:50-12:20      00:30-17:15      00:30-17:15
Dec 19, 2000:      01:50-14:10      00:30-17:15      00:30-17:15
Dec 20, 2000:      01:50-16:30      00:30-17:15      00:30-17:15
Dec 21, 2000:      01:50-17:45      00:30-17:15      00:30-17:45
Dec 22, 2000:      01:50-17:45      00:30-17:15      00:30-17:45
Dec 23, 2000:      01:50-17:45      00:30-17:15      00:30-17:45
Dec 24, 2000:      01:55-17:45      00:30-17:15      00:30-17:45
Dec 25, 2000:      01:55-17:45      00:30-17:15      00:30-17:45
Dec 26, 2000:      01:55-17:45      00:35-17:15      00:35-17:45
Dec 27, 2000:      01:55-17:45      00:35-17:15      00:35-17:45
Dec 28, 2000:      01:55-17:45      00:35-17:15      00:35-17:45
Dec 29, 2000:      02:00-17:45      00:35-17:15      00:35-17:45
Dec 30, 2000:      02:00-17:45      00:40-17:15      00:40-17:45
Dec 31, 2000:      02:00-17:45      00:40-17:15      00:40-17:45
Jan 01, 2001:      03:40-17:45      00:40-17:15      00:40-17:45
Jan 02, 2001:      06:05-17:45      00:45-17:15      00:45-17:45
Jan 03, 2001:      07:55-17:45      00:45-17:15      00:45-17:45
Jan 04, 2001:      09:30-17:40      00:45-17:10      00:45-17:40
Jan 05, 2001:      11:05-17:40      00:50-17:10      00:50-17:40
Jan 06, 2001:      12:35-17:40      00:50-17:10      00:50-17:40
Jan 07, 2001:      14:05-17:40      00:50-17:10      00:50-17:40
Jan 08, 2001:      15:25-17:40      00:55-17:05      00:55-17:40
Jan 09, 2001:      16:35-17:35      00:55-17:05      00:55-17:35
Jan 10, 2001:      02:15-03:30      01:00-17:05      01:00-17:05
Jan 11, 2001:      02:20-04:55      01:00-17:00      01:00-17:00
Jan 12, 2001:      02:20-06:30      01:05-17:00      01:05-17:00
Jan 13, 2001:      02:20-08:10      01:05-17:00      01:05-17:00
Jan 14, 2001:      02:25-09:55      01:10-16:55      01:10-16:55
Jan 15, 2001:      02:25-11:45      01:10-16:55      01:10-16:55
Jan 16, 2001:      02:30-13:50      01:15-16:55      01:15-16:55
Jan 17, 2001:      02:30-17:25      01:15-16:50      01:15-17:25
Jan 18, 2001:      02:35-17:25      01:20-16:50      01:20-17:25
Jan 19, 2001:      02:35-17:20      01:20-16:45      01:20-17:20
Jan 20, 2001:      02:40-17:20      01:25-16:45      01:25-17:20
Jan 21, 2001:      02:40-17:20      01:30-16:40      01:30-17:20
Jan 22, 2001:      02:45-17:15      01:30-16:40      01:30-17:15
Jan 23, 2001:      02:45-17:15      01:35-16:35      01:35-17:15
Jan 24, 2001:      02:50-17:15      01:35-16:35      01:35-17:15
Jan 25, 2001:      02:50-17:10      01:40-16:30      01:40-17:10
Jan 26, 2001:      02:55-17:10      01:45-16:30      01:45-17:10
Jan 27, 2001:      02:55-17:05      01:45-16:25      01:45-17:05
Jan 28, 2001:      03:00-17:05      01:50-16:25      01:50-17:05
Jan 29, 2001:      03:40-17:00      01:50-16:20      01:50-17:00
Jan 30, 2001:      05:30-17:00      01:55-16:20      01:55-17:00
Jan 31, 2001:      07:10-16:55      02:00-16:15      02:00-16:55
Feb 01, 2001:      08:40-16:55      02:00-16:10      02:00-16:55
